X,scientificName,taxonKey,rank,taxonomicStatus,kingdom,includes,classKey,gbifKey
10,Acalypha indica,NA,NA,NA,NA,NA,NA,152546431
32,Acer tataricum ginnala,NA,NA,NA,NA,NA,NA,152543370
33,Aceria brachytarsus,NA,NA,NA,NA,NA,NA,213214813
35,Aceria heteronyx,NA,NA,NA,NA,NA,NA,213214815
39,Achatina achatina,NA,NA,NA,NA,NA,NA,213213472
44,Achillea salicifolia salicifolia,NA,NA,NA,NA,NA,NA,152544039
45,Achillea setacea,NA,NA,NA,NA,NA,NA,152544045
46,Achnatherum bromoides,NA,NA,NA,NA,NA,NA,213212844
51,Acmella,NA,NA,NA,NA,NA,NA,152544419
52,Acmella oleracea,NA,NA,NA,NA,NA,NA,152544421
54,Aconitum napellus giganteum,NA,NA,NA,NA,NA,NA,152546322
60,Actinidia deliciosa,NA,NA,NA,NA,NA,NA,152545803
64,Adenostyles alliariae,NA,NA,NA,NA,NA,NA,152543997
68,Adonis aestivalis aestivalis,NA,NA,NA,NA,NA,NA,213214398
76,Aegilops triuncialis,NA,NA,NA,NA,NA,NA,152546807
77,Aegilops ventricosa,NA,NA,NA,NA,NA,NA,152546806
78,Aegopinella nitens,NA,NA,NA,NA,NA,NA,152543600
79,Aeluropus littoralis,NA,NA,NA,NA,NA,NA,152546909
80,Aeschynomene americana,NA,NA,NA,NA,NA,NA,152545230
81,Aeschynomene indica,NA,NA,NA,NA,NA,NA,152545231
84,Aesculus indica,NA,NA,NA,NA,NA,NA,182133821
87,Agama agama,NA,NA,NA,NA,NA,NA,182133795
91,Agapornis roseicollis,NA,NA,NA,NA,NA,NA,159747414
96,Agonoscena succincta,NA,NA,NA,NA,NA,NA,213214212
105,Agrostis nebulosa,NA,NA,NA,NA,NA,NA,152547133
107,Aidemosyne modesta,NA,NA,NA,NA,NA,NA,213212759
109,Aira caryophyllea plesiantha,NA,NA,NA,NA,NA,NA,213213067
110,Aira elegans,NA,NA,NA,NA,NA,NA,213213069
116,Alchemilla conjuncta,NA,NA,NA,NA,NA,NA,152544851
120,Aldrovanda vesiculosa,NA,NA,NA,NA,NA,NA,182135018
125,Aleurodothrips fasciapennis,NA,NA,NA,NA,NA,NA,152544422
129,Alkekengi officinarum franchetii,NA,NA,NA,NA,NA,NA,213213487
151,Allopeas clavulinum,NA,NA,NA,NA,NA,NA,157092291
157,Alopecurus magellanicus,NA,NA,NA,NA,NA,NA,152547160
159,Alternanthera angustifolia,NA,NA,NA,NA,NA,NA,152545993
160,Alternanthera caracasana,NA,NA,NA,NA,NA,NA,152545997
161,Alternanthera denticulata,NA,NA,NA,NA,NA,NA,182135060
163,Alternanthera paronychioides,NA,NA,NA,NA,NA,NA,152545994
164,Alternanthera pungens,NA,NA,NA,NA,NA,NA,152545996
168,Alyssum hirsutum,NA,NA,NA,NA,NA,NA,152545431
171,Alyssum strigosum,NA,NA,NA,NA,NA,NA,152545427
172,Alyssum turkestanicum,NA,NA,NA,NA,NA,NA,213214614
174,Amandava subflava,NA,NA,NA,NA,NA,NA,159747309
175,Amanita inopinata,NA,NA,NA,NA,NA,NA,213212319
180,Amaranthus capensis capensis,NA,NA,NA,NA,NA,NA,152545940
181,Amaranthus capensis uncinatus,NA,NA,NA,NA,NA,NA,152545945
183,Amaranthus clementii,NA,NA,NA,NA,NA,NA,152545946
187,Amaranthus emarginatus emarginatus,NA,NA,NA,NA,NA,NA,213214941
191,Amaranthus macrocarpus macrocarpus,NA,NA,NA,NA,NA,NA,152545937
192,Amaranthus macrocarpus pallidus,NA,NA,NA,NA,NA,NA,213214939
194,Amaranthus muricatus,NA,NA,NA,NA,NA,NA,152545956
195,Amaranthus ozanonii,NA,NA,NA,NA,NA,NA,152545933
197,Amaranthus polygonoides,NA,NA,NA,NA,NA,NA,152545957
202,Amaranthus scleropoides,NA,NA,NA,NA,NA,NA,152545949
213,Amberboa moschata,NA,NA,NA,NA,NA,NA,152544016
220,Ambystoma tigrinum,NA,NA,NA,NA,NA,NA,213213247
238,Amphibalanus reticulatus,NA,NA,NA,NA,NA,NA,152544011
239,Amphibalanus variegatus,NA,NA,NA,NA,NA,NA,159748086
246,Amsinckia menziesii intermedia,NA,NA,NA,NA,NA,NA,213214087
264,Anas gibberifrons,NA,NA,NA,NA,NA,NA,159747024
266,Anas laysanensis,NA,NA,NA,NA,NA,NA,159747018
275,Anas zonorhyncha,NA,NA,NA,NA,NA,NA,213212687
280,Anchusa officinalis officinalis,NA,NA,NA,NA,NA,NA,152545493
281,Anchusa procera,NA,NA,NA,NA,NA,NA,152545492
301,Anguillicola crassus,NA,NA,NA,NA,NA,NA,213213694
304,Anolis,NA,NA,NA,NA,NA,NA,182133725
305,Anolis sagrei,NA,NA,NA,NA,NA,NA,182133728
307,Anoplophora chinensis,NA,NA,NA,NA,NA,NA,152544536
314,Antaresia childreni,NA,NA,NA,NA,NA,NA,182133789
323,Anthropoides paradiseus,NA,NA,NA,NA,NA,NA,159747497
326,Anthyllis vulneraria carpatica,NA,NA,NA,NA,NA,NA,152545106
327,Anthyllis vulneraria polyphylla,NA,NA,NA,NA,NA,NA,152545105
328,Antigone vipio,NA,NA,NA,NA,NA,NA,213213020
329,Antirrhinum graniticum,NA,NA,NA,NA,NA,NA,152545687
