harmonia_name,scientificName,gbif_taxonkey,key,url,url_type
Acer negundo,Acer negundo L.,3189866,103,https://ias.biodiversity.be/species/show/103,harmonia
Acer rufinerve,Acer rufinerve Siebold & Zucc.,7263145,119,https://ias.biodiversity.be/species/show/119,harmonia
Ailanthus altissima,Ailanthus altissima (Mill.) Swingle,3190653,32,https://ias.biodiversity.be/species/show/32,harmonia
Aix galericulata,"Aix galericulata (Linnaeus, 1758)",2498388,18,https://ias.biodiversity.be/species/show/18,harmonia
Akebia quinata,Akebia quinata (Houtt.) Decne.,3033965,121,https://ias.biodiversity.be/species/show/121,harmonia
Alopochen aegyptiaca,"Alopochen aegyptiaca (Linnaeus, 1766)",2498252,19,https://ias.biodiversity.be/species/show/19,harmonia
Ambrosia artemisiifolia,Ambrosia artemisiifolia L.,8002952,34,https://ias.biodiversity.be/species/show/34,harmonia
Ameiurus nebulosus,"Ameiurus nebulosus (Lesueur, 1819)",2340989,1,https://ias.biodiversity.be/species/show/1,harmonia
Amelanchier lamarckii,Amelanchier ×lamarckii F.G.Schroed.,3024109,35,https://ias.biodiversity.be/species/show/35,harmonia
Anser indicus,"Anser indicus (Latham, 1790)",2498035,20,https://ias.biodiversity.be/species/show/20,harmonia
Aster lanceolatus,Symphyotrichum lanceolatum (Willd.) G.L.Nesom,9202318,137,https://ias.biodiversity.be/species/show/137,harmonia
Aster novi-belgii,Symphyotrichum novi-belgii (L.) G.L.Nesom,3151558,135,https://ias.biodiversity.be/species/show/135,harmonia
Aster x salignus,Symphyotrichum ×salignum (Willd.) G.L.Nesom,3151811,138,https://ias.biodiversity.be/species/show/138,harmonia
Azolla filiculoides,Azolla filiculoides Lam.,2650107,40,https://ias.biodiversity.be/species/show/40,harmonia
Baccharis halimifolia,Baccharis halimifolia L.,3129663,41,https://ias.biodiversity.be/species/show/41,harmonia
Bidens frondosa,Bidens frondosa L.,5392174,42,https://ias.biodiversity.be/species/show/42,harmonia
Branta canadensis,"Branta canadensis (Linnaeus, 1758)",5232437,147,https://ias.biodiversity.be/species/show/147,harmonia
Buddleja davidii,Buddleja davidii Franch.,3173338,44,https://ias.biodiversity.be/species/show/44,harmonia
Cabomba caroliniana,Cabomba caroliniana A.Gray,2882443,120,https://ias.biodiversity.be/species/show/120,harmonia
Callosciurus erythraeus,"Callosciurus erythraeus (Pallas, 1779)",2437394,126,https://ias.biodiversity.be/species/show/126,harmonia
Callosciurus finlaysonii,"Callosciurus finlaysonii (Horsfield, 1823)",2437399,127,https://ias.biodiversity.be/species/show/127,harmonia
Carassius gibelio,"Carassius gibelio (Bloch, 1782)",2366634,2,https://ias.biodiversity.be/species/show/2,harmonia
Carpobrotus edulis,Carpobrotus edulis (L.) N.E.Br.,3084842,118,https://ias.biodiversity.be/species/show/118,harmonia
Carpobrotus acinaciformis,Carpobrotus acinaciformis (L.) L.Bolus,3703606,118,https://ias.biodiversity.be/species/show/118,harmonia
Castor canadensis,"Castor canadensis Kuhl, 1820",2439838,123,https://ias.biodiversity.be/species/show/123,harmonia
Cervus nippon,"Cervus nippon Temminck, 1838",2440954,124,https://ias.biodiversity.be/species/show/124,harmonia
Cornus sericea,Cornus sericea L.,3082244,106,https://ias.biodiversity.be/species/show/106,harmonia
Cotoneaster horizontalis,Cotoneaster horizontalis Decne.,3025617,49,https://ias.biodiversity.be/species/show/49,harmonia
Crassula helmsii,Crassula helmsii (Kirk) Cockayne,5362054,50,https://ias.biodiversity.be/species/show/50,harmonia
Cygnus atratus,"Cygnus atratus (Latham, 1790)",2498344,52,https://ias.biodiversity.be/species/show/52,harmonia
Cyperus eragrostis,Cyperus eragrostis Lam.,2715482,115,https://ias.biodiversity.be/species/show/115,harmonia
Dama dama,"Dama dama (Linnaeus, 1758)",5220136,25,https://ias.biodiversity.be/species/show/25,harmonia
Duchesnea indica,Potentilla indica (Andrews) Th.Wolf,5365717,107,https://ias.biodiversity.be/species/show/107,harmonia
Echinocystis lobata,Echinocystis lobata (Michx.) Torr. & A.Gray,5331404,53,https://ias.biodiversity.be/species/show/53,harmonia
